id,label,PC1,PC2
iB_06379,1,-7.0148196,1.9921833
iB_03045,1,-8.043329,-1.3866948
iB_01152,1,-6.7863946,-1.8260599
iB_15317,1,-8.147277,-0.1504682
iB_01396,1,-7.6586723,-0.27785936
iB_07414,1,-3.6027584,-3.4239347
iB_17618,1,-6.405726,4.408552
iB_05943,1,-7.443571,0.11503168
iB_13343,1,-4.497763,-4.7808704
iB_07276,1,-7.927438,-1.611704
iB_06771,1,-6.4069705,-0.5452941
iB_13899,1,-6.3502483,-0.29040873
iB_17673,1,-4.7395396,-5.638134
iB_13232,1,-5.6071744,-0.90437186
iB_13147,1,-7.994334,-3.113193
iB_12363,1,-4.946888,0.18849704
iB_07167,1,-1.3311919,0.64898086
iB_13279,1,-6.3296576,1.968883
iB_01848,1,-7.1756773,1.2306178
iB_09718,1,-5.9631886,0.6146871
iB_09543,1,-6.585137,3.5767198
iB_16481,1,-8.609309,-0.84813136
iB_08796,1,-7.0392694,-1.020842
iB_16077,1,-8.253994,-2.6989858
iB_02243,1,-7.539279,1.7255754
iB_09453,1,-7.121725,-0.51030946
iB_15761,1,-4.527561,1.9286876
iB_14765,1,-7.7673664,-0.21196559
iB_17130,1,-5.0826015,1.854263
iB_05970,1,-7.3654094,3.8258464
iB_07333,1,-7.7578397,-1.6770554
iB_17199,1,-5.1670847,5.2478786
iB_16377,1,-1.2505366,-4.561218
iB_07188,1,0.81815696,-1.4784498
iB_03420,1,-8.195641,0.2678032
iB_13932,1,3.9834306,3.33687
iB_08239,1,-5.7092323,-0.54262406
iB_10859,1,-3.8093688,-3.6173913
iB_06028,1,-7.990486,0.438433
iB_14202,1,-6.825316,0.39809415
iB_10820,1,-1.722379,7.739601
iB_10926,1,-7.166531,0.35470697
iB_06829,1,-8.436236,-1.0717238
iB_09801,1,-7.1532063,1.2421529
iB_13171,1,-6.5565763,0.06316516
iB_12833,1,-6.5696583,-1.1022451
iB_05629,1,-7.4433413,0.911506
iB_05800,1,-7.2826304,-2.655882
iB_09630,1,-6.359565,0.9532768
iB_17192,1,-7.09977,3.409763
iB_16146,1,-4.8003645,5.3314347
iB_01149,1,-7.752338,0.5785483
iB_00779,1,-8.350145,-0.56079805
iB_03608,1,-8.312137,0.863486
iB_01720,1,-8.209368,-0.5124781
iB_05214,1,-3.9073062,-2.94036
iB_10402,1,-7.9341583,-0.30604488
iB_17085,1,-5.40222,-0.6721176
iB_00893,1,-6.726447,3.0466633
iB_10709,1,-4.2545185,1.9898053
iB_04350,1,-6.6209493,5.1030836
iB_03111,1,-6.7080526,0.084492356
iB_08055,1,-8.073104,-0.50148475
iB_01078,1,-5.168535,1.8258803
iB_16414,1,-5.8276105,0.4653641
iB_09330,1,-0.60589814,-5.1222954
iB_12281,1,-6.923434,1.0064145
iB_09175,1,-6.9259953,0.43497458
iB_10611,1,-5.728771,-0.39726216
iB_00331,1,-7.9439697,-0.62937695
iB_04452,1,-8.192277,0.9371518
iB_00627,1,-8.015017,1.433362
iB_15842,1,-0.15918182,-7.489591
iB_04595,1,-6.6815214,0.8071972
iB_03759,1,-5.874677,-2.1407797
iB_10566,1,-6.5860333,-1.5183603
iB_09739,1,-7.2541285,0.7328145
iB_16441,1,-5.5394163,2.9029033
iB_02658,1,-8.700457,-0.3083366
iB_12550,1,-3.2193031,-4.2680035
iB_01224,1,-7.2894835,2.2333326
iB_03334,1,-5.966037,2.001568
iB_13827,1,-6.36895,3.988031
iB_09551,1,-7.9071207,-2.1250324
iB_07440,1,-6.433672,3.3354385
iB_14385,1,-4.614857,-4.6705413
iB_12772,1,-5.493172,3.5030935
iB_14878,1,-7.3878727,0.4613695
iB_04987,1,-6.4285617,4.9204
iB_16891,1,-2.691155,-3.174109
iB_09366,1,-5.0926385,-1.3954818
iB_16908,1,-3.9393818,-3.2288055
iB_01141,1,-7.5342264,-1.2249212
iB_07706,1,-6.418722,2.4486005
iB_14976,1,-6.9096375,-0.9891835
iB_01427,1,-6.6872377,3.4272466
iB_15203,1,-6.5278106,-2.3489618
iB_15592,1,-5.772398,5.3636394
iB_02051,1,-7.4415674,-1.582108
iB_14078,1,-3.2387817,2.9146545
iB_03575,1,-8.151137,0.17471081
iB_01295,1,-7.7189703,1.2255818
iB_15824,1,-7.700506,-2.1554315
iB_17641,1,-7.645135,-0.9363937
iB_17347,1,-6.791957,-1.3916134
iB_05313,1,-6.716004,1.8428422
iB_17112,1,-4.4349933,3.994257
